,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
collinear,IQ_HIGHPRICE,IQ_LOWPRICE,IQ_OPENPRICE,IQ_CLOSEPRICE,IQ_CLOSEPRICE_ADJ,IQ_VWAP,IQ_EQUITY_BIDPRICE,IQ_EQUITY_ASKPRICE,IQ_EQUITY_MIDPRICE,IQ_YEARLOW,IQ_MARKETCAP,IQ_CLASS_MARKETCAP,IQ_TEV,IQ_CLASS_SHARESOUTSTANDING,IQ_SHORT_INTEREST_PERCENT,IQ_VOL_LAST_MTH,IQ_VOL_LAST_3MTH,IQ_VOL_LAST_6MTH,IQ_VOL_LAST_YR,IQ_VALUE_TRADED_LAST_WK,IQ_VALUE_TRADED_LAST_MTH,IQ_VALUE_TRADED_LAST_3MTH,IQ_VALUE_TRADED_LAST_6MTH,IQ_VALUE_TRADED_LAST_YR,IQ_RSI_ADJ,IQ_RETURN_COMMON_EQUITY,IQ_EBIT_MARGIN,IQ_NI_NORM_MARGIN,IQ_QUICK_RATIO,IQ_EBIT_1YR_ANN_GROWTH,IQ_NI_NORM_1YR_ANN_GROWTH,IQ_TBV_1YR_ANN_GROWTH,IQ_EBIT_2YR_ANN_CAGR,IQ_NI_NORM_2YR_ANN_CAGR,IQ_TBV_2YR_ANN_CAGR,IQ_EBIT_3YR_ANN_CAGR,IQ_NI_NORM_3YR_ANN_CAGR,IQ_TBV_3YR_ANN_CAGR,IQ_TOTAL_ASSETS_3YR_ANN_CAGR,IQ_GP_5YR_ANN_CAGR,IQ_COMMON_EQUITY_5YR_ANN_CAGR,IQ_TBV_5YR_ANN_CAGR,IQ_TOTAL_ASSETS_5YR_ANN_CAGR,IQ_GP_7YR_ANN_CAGR,IQ_TBV_7YR_ANN_CAGR,IQ_GP_10YR_ANN_CAGR,IQ_TBV_10YR_ANN_CAGR,IQ_TEV_EBIT_EXER,IQ_PE_NORMALIZED,IQ_PTBV,IQ_MKTCAP_TOTAL_REV,IQ_MKTCAP_TOTAL_REV_EXER,IQ_MKTCAP_EBT_EXCL,IQ_MKTCAP_EBT_EXCL_OUT,IQ_MKTCAP_EBT_EXCL_EXER,IQ_PRICE_TARGET,IQ_MEDIAN_TARGET_PRICE,IQ_HIGH_TARGET_PRICE
single_unique,IQ_VOL_LAST_WK,IQ_VOL_LAST_MTH,IQ_VOL_LAST_3MTH,IQ_VOL_LAST_6MTH,IQ_VOL_LAST_YR,IQ_VALUE_TRADED_LAST_WK,IQ_VALUE_TRADED_LAST_MTH,IQ_VALUE_TRADED_LAST_3MTH,IQ_VALUE_TRADED_LAST_6MTH,IQ_VALUE_TRADED_LAST_YR,IQ_DPS_10YR_ANN_CAGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zero_importance,IQ_CLASS_MARKETCAP,IQ_VALUE_TRADED_LAST_WK,IQ_VOL_LAST_WK,IQ_VOL_LAST_MTH,IQ_VOL_LAST_3MTH,IQ_VOL_LAST_6MTH,IQ_CLOSEPRICE,IQ_VOL_LAST_YR,IQ_VALUE_TRADED_LAST_MTH,IQ_DPS_10YR_ANN_CAGR,IQ_VALUE_TRADED_LAST_3MTH,IQ_VALUE_TRADED_LAST_6MTH,IQ_VALUE_TRADED_LAST_YR,IQ_CLASS_SHARESOUTSTANDING,IQ_RETURN_COMMON_EQUITY,IQ_ANNUALIZED_DIVIDEND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_importance,IQ_TOTAL_ASSETS_2YR_ANN_CAGR,IQ_COMMON_EQUITY_3YR_ANN_CAGR,IQ_TOTAL_ASSETS_3YR_ANN_CAGR,IQ_EBITDA_MARGIN,IQ_NI_NORM_MARGIN,IQ_EBITA_MARGIN,IQ_DPS_1YR_ANN_GROWTH,IQ_GP_3YR_ANN_CAGR,IQ_TBV_2YR_ANN_CAGR,IQ_EBITA_2YR_ANN_CAGR,IQ_NI_NORM_2YR_ANN_CAGR,IQ_MKTCAP_EBT_EXCL_EXER,IQ_COMMON_EQUITY_7YR_ANN_CAGR,IQ_NI_NORM_1YR_ANN_GROWTH,IQ_GP_5YR_ANN_CAGR,IQ_NI_NORM_5YR_ANN_CAGR,IQ_COMMON_EQUITY_5YR_ANN_CAGR,IQ_TOTAL_REV_7YR_ANN_CAGR,IQ_TOTAL_ASSETS_5YR_ANN_CAGR,IQ_GP_7YR_ANN_CAGR,IQ_EBIT_MARGIN,IQ_DPS_3YR_ANN_CAGR,IQ_EBIT_2YR_ANN_CAGR,IQ_TBV_10YR_ANN_CAGR,IQ_EBIT_3YR_ANN_CAGR,IQ_TBV_5YR_ANN_CAGR,IQ_DPS_5YR_ANN_CAGR,IQ_DIV_AMOUNT,IQ_EBIT_1YR_ANN_GROWTH,IQ_TBV_7YR_ANN_CAGR,IQ_CLASS_SHARESOUTSTANDING,IQ_VALUE_TRADED_LAST_YR,IQ_VALUE_TRADED_LAST_6MTH,IQ_VALUE_TRADED_LAST_3MTH,IQ_DPS_10YR_ANN_CAGR,IQ_VALUE_TRADED_LAST_MTH,IQ_RETURN_COMMON_EQUITY,IQ_VOL_LAST_YR,IQ_VOL_LAST_6MTH,IQ_VOL_LAST_3MTH,IQ_VOL_LAST_MTH,IQ_VOL_LAST_WK,IQ_VALUE_TRADED_LAST_WK,IQ_CLASS_MARKETCAP,IQ_CLOSEPRICE,IQ_ANNUALIZED_DIVIDEND,,,,,,,,,,,,
