,IQ_LASTSALEPRICE,BENCHMARK,IQ_YEARHIGH,IQ_VOLUME,IQ_VALUE_TRADED,IQ_SHARESOUTSTANDING,IQ_BETA_5YR,IQ_BETA_2YR,IQ_BETA_1YR,IQ_BETA_5YR_RSQ,IQ_BETA_2YR_RSQ,IQ_BETA_1YR_RSQ,IQ_PRICE_VOL_HIST_5YR,IQ_PRICE_VOL_HIST_2YR,IQ_PRICE_VOL_HIST_YR,IQ_PRICE_VOL_HIST_6MTH,IQ_PRICE_VOL_HIST_3MTH,IQ_DIVIDEND_YIELD,IQ_SHORT_INTEREST,IQ_NEXT_DIV_AMOUNT,IQ_RETURN_ASSETS,IQ_RETURN_CAPITAL,IQ_RETURN_INVESTED_CAPITAL,IQ_RETURN_EQUITY,IQ_RETURN_COMMON_EQUITY,IQ_GROSS_MARGIN,IQ_SGA_MARGIN,IQ_ASSET_TURNS,IQ_CURRENT_RATIO,IQ_Z_SCORE,IQ_TOTAL_REV_1YR_ANN_GROWTH,IQ_GP_1YR_ANN_GROWTH,IQ_EBITA_1YR_ANN_GROWTH,IQ_ACCT_RECV_1YR_ANN_GROWTH,IQ_COMMON_EQUITY_1YR_ANN_GROWTH,IQ_TOTAL_ASSETS_1YR_ANN_GROWTH,IQ_GP_2YR_ANN_CAGR,IQ_DPS_2YR_ANN_CAGR,IQ_ACCT_RECV_2YR_ANN_CAGR,IQ_COMMON_EQUITY_2YR_ANN_CAGR,IQ_TOTAL_ASSETS_2YR_ANN_CAGR,IQ_TOTAL_REV_3YR_ANN_CAGR,IQ_EBITA_3YR_ANN_CAGR,IQ_ACCT_RECV_3YR_ANN_CAGR,IQ_COMMON_EQUITY_3YR_ANN_CAGR,IQ_TOTAL_REV_5YR_ANN_CAGR,IQ_ACCT_RECV_5YR_ANN_CAGR,IQ_ACCT_RECV_7YR_ANN_CAGR,IQ_TOTAL_REV_10YR_ANN_CAGR,IQ_ACCT_RECV_10YR_ANN_CAGR,IQ_COMMON_EQUITY_10YR_ANN_CAGR,IQ_TOTAL_ASSETS_10YR_ANN_CAGR,IQ_TEV_TOTAL_REV,IQ_TEV_EBIT,IQ_TEV_EBIT_OUT,IQ_PRICE_SALES,IQ_PBV,IQ_MKTCAP_TOTAL_REV_OUT,IQ_EST_NUM_HIGH_REC,IQ_EST_NUM_NEUTRAL_REC,IQ_LOW_TARGET_PRICE,IQ_TARGET_PRICE_NUM
count,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0,3030.0
mean,7.51960689768977,172.6527984488449,11.672618745874585,33.40180515511551,363.109467650165,751.3230443069307,2.4639749471947194,1.8616909867986797,1.8650483201320132,0.2988685907590759,0.25785040594059405,0.25796546534653464,57.75299145214522,58.183640990099015,57.5514290759076,57.56759343234323,57.18885570957096,0.0,101.0252567161716,0.0,-0.810585478547855,-1.1390523102310235,-12.872003465346534,-1160.5011242244223,-1042.3032773927391,36.749136204620456,14.795339768976898,1.0957209141914193,1.749890904290429,0.31185980528052804,2.1812531023102313,3.621162013201322,6.445639537953796,10.1171399009901,13.731926105610562,-3.355373366336633,-0.8288866336633659,0.0,3.226602673267327,3.7150327062706303,-5.140585379537955,-0.12415092409240873,-2.62086900990099,0.1913273597359733,-3.4922117821782157,1.786744257425742,1.3412486138613862,1.4523150165016498,3.6288701650165023,2.9022636633663366,-8.726745676567658,-1.7311255445544562,1.38322798019802,11.939800986798682,11.034842580858085,1.0632651353135312,9.601045643564357,0.8583858712871288,1.1151815181518152,16.344224422442245,3.760115511551155,22.62112211221122
std,5.484007233565907,56.347001895965874,8.028905397996374,31.4506248555638,695.6590317050399,125.89977987236206,0.366308403288751,0.4608663286565702,0.6309999925936102,0.065829711804902,0.12583617978160058,0.14683298432662897,4.342042585026594,10.46802763774589,13.94943677487136,16.979882309607486,19.27748782516474,0.0,34.74696628686344,0.0,4.981182791266242,7.747442925085936,22.12729694021154,5118.734627630229,5211.364498433788,6.434427765495195,4.579173392546831,0.35988058682500773,0.2896441479028508,1.081654801617775,17.498245164061824,34.463795913203356,45.14539920188272,44.05528414045529,82.80289173364947,24.206128529732307,19.744742368015917,0.0,26.221998101507694,71.96632991347393,15.682980444937435,6.870291199636931,15.33325074322033,14.790956655334172,48.07177225051171,7.461255026396834,8.14940433026616,5.242844102419373,4.434133728672532,4.40150262792845,11.036178040066662,7.84285940375233,0.8916766697963495,21.29751126246511,20.73120486930972,0.9034007603027469,16.751743852596647,1.1393803263792686,0.5989981870177215,2.5057196985015726,1.9893491123760825,4.02366096178969
min,1.62,68.11,3.06,2.60658,5.7955,549.732,1.97721,0.7361,0.42639,0.16465,0.04388,0.01149,48.9122,39.6315,32.4485,30.7389,26.4256,0.0,28.72175,0.0,-7.553,-13.0236,-45.7389,-26600.0,-26600.0,23.2229,8.5664,0.47439,1.06873,-1.9650599999999998,-27.5155,-49.2075,-74.7525,-50.0,-96.6732,-47.4678,-28.8358,0.0,-46.015,-85.1835,-31.6766,-10.4958,-55.1155,-27.9647,-74.7184,-10.3038,-19.4828,-11.7326,-4.4079,-11.8513,-40.2576,-12.8547,0.36765,0.0,0.0,0.16371,0.0,0.0,0.0,8.0,1.0,14.0
25%,3.62,128.3725,5.52,14.9033825,61.9072225,672.3510000000001,2.20434,1.55079,1.44139,0.25028,0.16057000000000002,0.12333,53.7256,49.0045,47.0748,45.822175,43.023175,0.0,73.34323,0.0,-5.3469,-8.0279,-29.2622,-110.2599,-110.2599,32.6522,10.8632,0.8121,1.6536,-0.50902,-8.7037,-21.3882,0.0,-19.3404,-32.4776,-19.2572,-15.7676,0.0,-12.2791,-32.2836,-15.615,-5.7096,0.0,-7.6505,-22.979525000000002,-4.5463,-3.2652,-1.5944,-0.585975,0.9952,-14.9163,-8.042175,0.7502475000000001,0.0,0.0,0.46767,1.4168175,0.0,1.0,15.0,2.0,19.0
50%,6.14,156.275,9.58,23.026525,132.50068,714.188,2.30393,1.81902,1.73767,0.29911,0.21375,0.24373000000000003,59.36325,55.5053,55.2327,56.28535,53.29705,0.0,95.6867,0.0,-1.7165,-2.9814,-17.7576,-16.6497,-18.1746,36.9293,14.3825,1.20497,1.76987,0.38308000000000003,1.1395,2.1604,0.0,-1.6827,0.0,-3.5031,-2.637,0.0,-4.8511,0.0,-8.2235,-0.2285,0.0,-2.5956,-3.5026,1.8755,2.4535,2.5247,3.8760000000000003,3.3467,-10.5651,-3.4584,0.995785,0.0,0.0,0.6832400000000001,3.91366,0.4427,1.0,16.0,4.0,23.0
75%,9.7775,210.385,15.65,38.784155,327.5284375,793.49376,2.67513,2.146655,2.21907,0.35555,0.3792025,0.3753425,60.9879,67.8853,65.4739,64.1314,66.33349999999999,0.0,122.01418000000001,0.0,4.1772,6.4711,6.4755,21.7339,21.7339,43.1379,15.9655,1.35884,1.9171799999999999,1.16326,19.603875,21.484775,0.0,30.1492,39.5543,8.9556,9.1168,0.0,13.9479,14.9612,6.1467,5.4138,0.0,4.7349,0.0,4.2439,7.084,4.925425000000001,7.0118,5.6623,0.0,1.2119,1.8859075,12.10564,11.510209999999999,1.2610025,9.731985,0.8819849999999999,1.0,17.0,5.0,25.0
max,32.72,293.58,35.75,325.0584,9270.40361,1081.5637199999999,3.68678,3.2473,3.7186,0.42173999999999995,0.48603,0.5585399999999999,64.3375,79.5399,89.8172,117.81700000000001,130.7602,0.0,192.62433000000001,0.0,7.6467,13.7563,30.6089,227.4509,5675.5555,45.5504,23.2161,1.6933,2.62043,3.6157199999999996,33.4247,93.5264,290.5511,172.0264,410.2362,64.0309,57.6244,0.0,99.2752,390.4979,30.4365,17.504,66.6405,42.1418,247.7649,19.8865,21.0583,10.880999999999998,10.7573,14.4595,25.8528,14.3093,5.045730000000001,122.76207,122.76207,4.93636,131.17601000000002,5.37018,3.0,24.0,10.0,33.0
