,feature,nunique
0,IQ_VOL_LAST_WK,1
1,IQ_VOL_LAST_MTH,1
2,IQ_VOL_LAST_3MTH,1
3,IQ_VOL_LAST_6MTH,1
4,IQ_VOL_LAST_YR,1
5,IQ_VALUE_TRADED_LAST_WK,1
6,IQ_VALUE_TRADED_LAST_MTH,1
7,IQ_VALUE_TRADED_LAST_3MTH,1
8,IQ_VALUE_TRADED_LAST_6MTH,1
9,IQ_VALUE_TRADED_LAST_YR,1
10,IQ_DPS_10YR_ANN_CAGR,1
